MRUN,PROM_NOTAS_ALU,NIVEL_CARRERA_2
19569334,4.8,Carreras T̩cnicas
9312679,5.8,Carreras Profesionales
21577802,5.4,Carreras T̩cnicas
22212695,5.4,Carreras T̩cnicas
2981714,4.7,Carreras T̩cnicas
15595996,5.7,Carreras T̩cnicas
15595996,5.7,Carreras Profesionales
20520358,5.1,Carreras T̩cnicas
7702354,5.1,Carreras T̩cnicas
3430711,5.1,Carreras T̩cnicas
14211865,5.4,Carreras T̩cnicas
16146024,5.5,Carreras T̩cnicas
11007677,5.4,Carreras T̩cnicas
19350698,5.7,Carreras T̩cnicas
2463226,5.8,Carreras T̩cnicas
3430710,5.9,Carreras T̩cnicas
17949848,5.1,Carreras Profesionales
13677720,5.0,Carreras T̩cnicas
23550056,5.4,Carreras T̩cnicas
13403002,5.2,Carreras T̩cnicas
15869870,4.7,Carreras T̩cnicas
15538825,5.2,Carreras T̩cnicas
4756478,5.7,Carreras T̩cnicas
1220680,5.7,Carreras T̩cnicas
9563350,5.4,Carreras T̩cnicas
14471296,6.1,Carreras T̩cnicas
21948325,5.5,Carreras T̩cnicas
8596610,5.3,Carreras T̩cnicas
5509771,5.7,Carreras T̩cnicas
3907055,5.3,Carreras T̩cnicas
3679869,5.0,Carreras T̩cnicas
11589277,5.9,Carreras T̩cnicas
18025441,4.5,Carreras T̩cnicas
22298683,5.1,Carreras T̩cnicas
13426505,5.8,Carreras Profesionales
24670250,5.3,Carreras T̩cnicas
14320235,5.1,Carreras T̩cnicas
16557574,6.1,Carreras Profesionales
535592,5.1,Carreras T̩cnicas
20009614,6.3,Carreras T̩cnicas
15202354,5.4,Carreras Profesionales
15164391,5.2,Carreras T̩cnicas
18181503,4.8,Carreras T̩cnicas
3762810,5.3,Carreras T̩cnicas
4729181,5.7,Carreras T̩cnicas
11341302,5.5,Carreras T̩cnicas
13273787,6.8,Carreras T̩cnicas
23421045,5.4,Carreras T̩cnicas
23287,4.9,Carreras T̩cnicas
6000531,5.6,Carreras Profesionales
3471646,5.3,Carreras T̩cnicas
19926189,5.5,Carreras Profesionales
714982,4.8,Carreras Profesionales
14499734,5.9,Carreras T̩cnicas
13863877,5.8,Carreras T̩cnicas
20374628,5.4,Carreras T̩cnicas
12897388,5.4,Carreras T̩cnicas
17805179,5.8,Carreras Profesionales
8886442,6.3,Carreras T̩cnicas
13259408,5.1,Carreras T̩cnicas
5581773,5.4,Carreras Profesionales
24273141,4.9,Carreras T̩cnicas
6115928,5.7,Carreras T̩cnicas
24706229,5.9,Carreras T̩cnicas
10112166,6.1,Carreras T̩cnicas
15020350,5.1,Carreras Profesionales
23362519,5.5,Carreras T̩cnicas
15554050,6.0,Carreras Profesionales
24531480,5.7,Carreras T̩cnicas
5407604,5.9,Carreras T̩cnicas
9578490,6.2,Carreras T̩cnicas
10112165,5.1,Carreras T̩cnicas
498830,4.9,Carreras T̩cnicas
15036276,4.8,Carreras T̩cnicas
14603753,5.1,Carreras T̩cnicas
5524856,5.4,Carreras T̩cnicas
1785818,5.4,Carreras T̩cnicas
16103984,5.5,Carreras T̩cnicas
10128041,5.8,Carreras T̩cnicas
18121997,4.5,Carreras T̩cnicas
23324753,6.1,Carreras Profesionales
13105134,5.3,Carreras T̩cnicas
8399697,5.1,Carreras T̩cnicas
1990882,4.9,Carreras T̩cnicas
10868504,5.2,Carreras T̩cnicas
21549658,6.3,Carreras T̩cnicas
2323367,5.1,Carreras T̩cnicas
10334153,5.1,Carreras T̩cnicas
10535626,5.5,Carreras Profesionales
12950917,6.1,Carreras T̩cnicas
23632044,5.3,Carreras T̩cnicas
18677839,6.1,Carreras T̩cnicas
23917541,5.2,Carreras T̩cnicas
18245601,5.6,Carreras T̩cnicas
17281860,6.1,Carreras T̩cnicas
16763622,5.1,Carreras T̩cnicas
19434051,5.6,Carreras Profesionales
18089607,4.9,Carreras T̩cnicas
4204987,5.3,Carreras Profesionales
12114943,5.4,Carreras T̩cnicas
17454653,5.4,Carreras Profesionales
14784736,5.5,Carreras Profesionales
12548237,5.0,Carreras Profesionales
4220694,4.9,Carreras T̩cnicas
6891025,6.0,Carreras T̩cnicas
5924459,4.7,Carreras T̩cnicas
14699908,5.2,Carreras T̩cnicas
10508195,4.8,Carreras T̩cnicas
2225146,5.4,Carreras T̩cnicas
7070242,5.3,Carreras T̩cnicas
5366846,5.3,Carreras T̩cnicas
20956281,5.0,Carreras Profesionales
19888295,5.2,Carreras Profesionales
18285218,5.3,Carreras T̩cnicas
5569714,5.4,Carreras T̩cnicas
13046095,6.1,Carreras Profesionales
8571057,5.0,Carreras T̩cnicas
11592744,5.1,Carreras Profesionales
4262319,6.1,Carreras T̩cnicas
23386935,5.6,Carreras T̩cnicas
4894831,4.9,Carreras Profesionales
21912127,4.7,Carreras T̩cnicas
8902037,5.3,Carreras Profesionales
8468961,5.5,Carreras T̩cnicas
9949781,5.4,Carreras T̩cnicas
3209692,6.0,Carreras T̩cnicas
6031673,5.3,Carreras Profesionales
11906363,5.6,Carreras T̩cnicas
1859769,5.1,Carreras T̩cnicas
11270920,5.7,Carreras T̩cnicas
23019930,6.3,Carreras T̩cnicas
2725442,5.4,Carreras T̩cnicas
13751517,5.0,Carreras T̩cnicas
